Features	KO.1	KO.2	KO.3	WT.1	WT.2	WT.3
RPS5	2.5	1.8	2.1	3.2	0.2	5.1
RPS6	0	1.1	2	3.1	2.5	0
RPS7	6.1	0	3.5	2.9	5.1	2.3
RPS8	5.8	5.1	7.3	8	0	3.8
RPS9	4.1	0.9	7.6	4.1	2	1.4
RPSA	5.4	5.3	9.7	5.4	0.9	1.8
RSL1D1	0	0	0	0	0	0.8
RTN1	3.8	0	7.1	2.5	10.6	4.1
RTN3	2.3	2.2	5.7	1.8	1.8	1.1
RTN4	8.1	4.9	5.4	5.1	1.1	7.6
RUFY3	0.8	2.3	0.9	1.8	1.7	0
RUVBL1	0.8	0	0.4	2.1	0.8	0
RUVBL2	0	1.1	0.8	0	0.8	0
S100A7	5.1	8.7	3.2	6.5	13.8	6.8
S100A8	6	14.2	4.9	6.8	16.6	7.3
S100A9	9.8	12.4	7.5	6.6	16.2	10.6
SARM1	0	0	0	0	0.8	0
SBSN	7.5	12.5	3.2	6	15.6	4.5
SCAMP3	2	0	3.9	3.7	3.8	4.1
SCARB2	0.8	1.8	0	0	0	0
SCCPDH	3.7	0	2.5	3.3	0	1.4
SEC22B	0.9	0	2.5	0	1.8	0
SEC23B	0.4	1.1	0.6	0	1.8	0
SEPTIN2	0.2	0	0.9	0	0	0
SEPTIN6	0.8	0.4	0	0.4	0.8	0
SEPTIN7	0.8	1.8	1.4	1.1	0	0.2
SEPTIN9	0	0.8	0.8	0	1.1	0
SERBP1	0	0	2.5	0.8	0.8	0.8
SERPINB12	0.8	6.5	0	0.8	7.2	0
SERPINB3	1.8	5.7	0	2.9	6.3	2.5
SERPINH1	0	3.3	2.3	0	0.6	0
SET	0	0	0	2.9	0	2.4
SF1	0	0.2	0	0	0	0
SF3B1	0	0	0	0.2	1.1	0.8
SF3B2	0	1.8	0	0	2.3	0.8
SF3B3	0	2.9	0	0	1.7	0
SFPQ	1.7	0	0.8	0	0	13.5
SLC12A2	0.4	0	0	1.4	0	0
SLC12A9	0	0	0	0	1.8	0
SLC16A1	0	0	0.2	0.9	0	0
SLC1A4	0	3.7	1.7	1.8	0	2.3
SLC1A5	5.1	6.8	1.8	2.1	2.5	2.5
SLC25A13	1.1	0	3.2	0.8	0	0.4
SLC25A6	7.4	5.1	6.1	5.1	8	6.4
SLC39A14	3.2	3.6	0	3.5	0	0
SLC3A2	32	39.4	23.9	39.4	33.3	32
SLC44A1	0.8	5.3	0.8	6.1	6.4	0
SLC44A2	11.8	16.6	7.8	22.1	6.5	7.8
SLC7A1	0	0.2	0	1.8	2.4	0.2
SLC7A5	0	4.8	1.8	0	0	2.5
SNAP25	0	0	0	0	0	0
SNRNP70	0	0.8	0	0	0	0
SNRPB	0	0.2	1.3	0.4	1.8	0
SNRPD1	0	0	0.8	0	0.2	0
SNRPD3	0.8	2.5	0	0	0.8	0
SNRPF	0	2.5	0.6	0	0	2.5
SOD1	0	0	0	0.6	0	0
SPRR1B	0	0.8	0	0	5.8	0.8
SPRR2E	6.8	11	0	0	15.1	5.1
SPTAN1	5.1	2.5	6.1	2.3	0	1.8
SPTBN1	4.8	3.6	15	7.1	0	1.8
SRC	0	0	0.2	0	0.8	0.8
SRI	0	0	0	0	0	0
SRP14	0	0	0.2	0	0.4	1.8
SRP9	0	0	0.4	0	1.1	0
SRSF1	0.4	0	0	0	0.8	6.8
SRSF10	0	0	0	0	0	0
SRSF3	0	1.1	0.8	0	0.4	3.2
SRSF6	0	0	0	0.8	0	0
SRSF7	0	0	1.5	0	1.5	4.1
SRSF9	0	0	0	0	0	0
SSRP1	0	0	0	0	0	0
STMN1	6.4	0	4.5	6.1	4.1	2.5
STOML2	0.9	2.4	1.1	0	0	0.9
STRA6	0	0	0	1.8	0	0
SUPT16H	0	0	0	0	0	1.5
SURF4	0	0	0	0.2	0.8	2.5
SYNCRIP	0	0	2.5	1.1	0	10.3
TAF15	0	1.1	0	0	2	4.2
TAGLN2	7.4	5.2	5.8	4.1	6.3	5.1
TARDBP	0.2	0.8	0	0	1.8	1.8
TBCB	2.5	0	0	2.5	0	0
TCP1	3.3	0	7.8	8.1	0	1.8
TENM4	0	0	0.4	1.8	1.8	0
TF	3.2	5.1	0.8	5.3	0	0
TFRC	13	7.2	6.6	13.8	4.1	2.2
TGM1	0	0	0	0	9.8	2.9
THOC3	0.2	0	0	0	1.5	0.8
THRAP3	0	0	0	0	0	1.7
THY1	10.5	10.6	5.1	5.3	10.8	3.9
TIA1	0.4	0.2	0	0	1.8	0
TIGAR	0.8	0	0	2	0	0
TIPRL	0	2.9	0	0	0	0
TLN1	2	0.6	5.1	9.8	0	0
TMED10	0	0	2	0	4.5	0
TMED7-TICAM2	2.4	3.3	0	2.4	0	0
TMED9	1.9	0	1.8	1.5	0.8	0
TMEM205	0	0	0.2	0.2	0	0.2
TNFRSF10B	0	0	0	0	0	1.1
TNPO1	3.6	6.4	4	4.8	7.4	4.8
TOMM70	0	0	0	0	0.8	0
TPBG	0	0.8	0	0	0	0
TPI1	21.7	22.1	5.1	12.7	20.1	8
TPM3	35.5	36.8	40	36.8	39.4	41.4
TPP2	1.4	0	0	0.8	0.2	1.1
TPT1	0	1.1	0	0	0	4.8
TRAP1	1.5	0	2.3	2	6.8	0.8
TRIM28	0	0	0	0	0.9	0
TTYH3	1.4	0	0.2	0.9	0.6	0.2
TUBA1B	34.8	32	33.3	46.6	43.9	43.9
TUBB	74.7	48.1	74.7	74.7	55.1	74.7
TUFM	8.7	8.5	8.5	5.9	3.5	8.9
TXN	3.1	10.1	0	0	11.5	5.9
TXNDC5	1.1	1.8	0	0	2.5	0
TXNRD1	0	1.3	0	0.9	0.6	0
U2AF1L5	0	0	0.8	0	0	0.4
UBA1	5.1	7.5	2.6	2.4	4.3	2.9
UBA6	0.4	1.8	0	0	0.8	0.9
UBE2N	0	6.3	0	0.8	1.8	3.3
UBQLN4	2.3	0.4	0	0.4	0	8.7
UBXN1	0.8	0.2	0	0	0	0
UCHL1	12.4	15.1	9.3	8	7.4	11.5
UQCRC1	2.6	0	1.5	2.5	1.1	6.1
USP5	0.4	0	2.5	0.2	0.4	0
VAPA	0	0	0.4	0	2.9	0
VAPB	0.9	1.3	1.8	0.8	4.1	1.8
VASN	4.1	0.8	0.2	4.8	0	0
VAT1	7.2	5.1	5.9	8.2	4.2	2.3
VDAC1	0	3.8	4.8	5.1	3.3	3.6
VDAC2	11.5	5.2	11.5	11.5	21	8.5
VDAC3	0.4	0.4	4.8	6.3	1.8	0
VGF	6.6	5.1	6	5.8	0	0
VIM	4.1	0	12.2	2	0	0.8
WARS1	0	1.1	0	0.2	1.8	0
WDR47	0	0	0	0.8	2	0
YBX1	2.5	2.5	6.8	5.1	0.6	2.1
YWHAQ	26.1	24.4	26.1	21.2	21.2	23.5
ZFR	0	0	0	0.2	0	0.8
ZNF326	0	0	0	0	0	0

