Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj
DBF4	36.8876	-3.10758	0.52148	-5.88526	3.97439e-09	1.20648e-08
DBF4B	77.2882	-0.731999	0.280375	-2.61024	0.00904794	0.0154206
DBH	24.3292	0.333214	0.477516	0.697838	0.485278	0.555246
DBI	347.321	0.386338	0.135918	2.84245	0.00447681	0.00796331
DBN1	991.453	-0.143441	0.0870738	-1.64734	0.0994873	0.139139
DBNDD1	525.019	1.08687	0.120975	8.98403	2.61034e-19	1.26767e-18
DBNDD2	162.509	4.66405	0.317847	14.5476	6.05258e-48	5.96286e-47
DBNL	626.068	-0.482939	0.107113	-4.50862	6.52495e-06	1.56274e-05
DBP	364.115	2.23579	0.148468	15.0555	3.17549e-51	3.33237e-50
DBR1	59.2869	-1.07099	0.324381	-3.29985	0.000967367	0.00186952
DBT	93.2127	0.804033	0.255716	3.14413	0.0016658	0.00313472
DBX1	1.22799	-0.0291089	1.49416	-0.0194838	0.984455	NA
DBX2	4.92043	2.93736	1.13065	2.47175	0.0134452	0.0222138
DCAF10	144.438	-0.283878	0.208991	-1.3583	0.174369	0.229829
DCAF11	549.093	0.147146	0.113794	1.29309	0.195979	0.254828
DCAF12	220.606	-1.6302	0.18101	-9.00301	2.19605e-19	1.06974e-18
DCAF12L2	12.3538	2.03194	0.723279	2.79445	0.00519873	0.00917122
DCAF13	103.131	-2.55674	0.289625	-8.80664	1.28948e-18	6.10336e-18
DCAF15	355.872	-0.707713	0.135651	-5.21696	1.81885e-07	4.92039e-07
DCAF16	177.659	-0.79641	0.191745	-4.15304	3.28085e-05	7.34445e-05
DCAF17	83.098	-0.248	0.272336	-0.910602	0.362505	0.433898
DCAF4	71.1456	-0.615957	0.292537	-2.1052	0.0352736	0.0541195
DCAF4L1	7.60202	0.508369	0.815069	0.623692	0.53283	0.60214
DCAF5	387.213	0.0778851	0.13035	0.597508	0.550168	0.618283
DCAF6	232.419	0.918857	0.163992	5.60294	2.10747e-08	6.07785e-08
DCAF7	851.282	-0.85802	0.0950793	-9.02404	1.81279e-19	8.86489e-19
DCAF8	816.695	0.691466	0.0924051	7.48298	7.26576e-14	2.82609e-13
DCAF8L1	11.8352	0.755968	0.679722	1.11188	0.26619	0.33312
DCAF8L2	5.49895	-0.938181	0.964029	-0.968977	0.332557	0.403586
DCAKD	395.346	0.609906	0.12792	4.76787	1.86182e-06	4.66812e-06
DCBLD1	21.6228	-0.795379	0.524314	-1.51569	0.129599	0.176789
DCBLD2	298.296	-2.09178	0.163932	-12.7541	2.95633e-37	2.33132e-36
DCC	23.079	4.80176	0.820621	5.42054	5.94188e-08	1.66837e-07
DCDC1	1.3293	0.81223	1.47801	0.548102	0.583622	NA
DCDC2	36.2841	-2.54156	0.479348	-5.26674	1.38871e-07	3.79715e-07
DCDC2B	10.147	-0.272929	0.733265	-0.372111	0.70981	0.760291
DCHS1	373.316	0.321916	0.131177	2.45407	0.0141251	0.023232
DCHS2	25.5213	1.72224	0.500814	3.43351	0.000595818	0.00117887
DCI	356.361	-0.93404	0.136979	-6.81841	9.20528e-12	3.24134e-11
DCK	99.8819	0.107359	0.246696	0.435189	0.663425	0.720281
DCLK1	625.378	4.06402	0.145122	27.9707	3.69707e-172	1.53354e-170
DCLK2	299.56	3.10781	0.173979	17.8473	3.03315e-71	4.38022e-70
DCLK3	12.0944	1.86602	0.718159	2.58722	0.00967543	0.0164245
DCLRE1A	67.9794	-0.681219	0.301106	-2.26193	0.0237019	0.0374593
DCLRE1B	118.684	-1.42805	0.240173	-5.94304	2.79776e-09	8.55666e-09
DCLRE1C	33.9832	-0.789257	0.431999	-1.82602	0.0678471	0.0985794
DCN	192.244	-0.313737	0.185925	-1.6874	0.0915274	0.129105
DCP1A	184.972	-0.133976	0.181594	-0.737774	0.460652	0.530946
DCP1B	71.0498	-0.657269	0.292476	-2.24684	0.0246504	0.038829
DCP2	216.207	-0.461546	0.169648	-2.72052	0.00651799	0.0113525
DCPS	132.383	-1.57066	0.232611	-6.74876	1.49117e-11	5.19439e-11
DCST1	17.7124	-1.493	0.5968	-2.49284	0.0126727	0.0210425
DCST2	17.6259	-0.21816	0.562171	-0.388003	0.698013	0.750082
DCT	747.498	-7.17316	0.356127	-19.5819	2.2071e-85	3.80784e-84
DCTD	316.194	-0.838435	0.145925	-5.74531	9.1751e-09	2.71432e-08
DCTN1	85.7166	5.51228	0.526125	10.0803	6.75255e-24	3.80843e-23
DCTN2	812.841	0.702829	0.0945387	7.43429	1.05132e-13	4.06221e-13
DCTN3	357.777	1.02472	0.138751	7.38513	1.523e-13	5.84867e-13
DCTN4	338.611	0.701925	0.136946	5.12554	2.96684e-07	7.91126e-07
DCTN5	363.686	-0.742945	0.134455	-5.52536	3.28804e-08	9.37927e-08
DCTN6	91.4033	0.77764	0.261608	2.97243	0.00295454	0.0053715
DCTPP1	266.879	-1.4842	0.17466	-8.49572	1.96703e-17	8.89753e-17
DCUN1D1	51.5539	0.276834	0.342324	0.808701	0.418687	0.491456
DCUN1D2	182.017	1.07885	0.18704	5.76772	8.03494e-09	2.38506e-08
DCUN1D3	40.6662	0.068781	0.376027	0.182917	0.854863	0.882475
DCUN1D4	151.684	0.426425	0.208953	2.04078	0.0412725	0.062563
DCUN1D5	219.246	0.0724484	0.169613	0.427139	0.669278	0.724442
DCX	21.964	3.14793	0.611618	5.07945	3.7853e-07	1.00176e-06
DCXR	487.411	0.459438	0.11866	3.87189	0.000107994	0.000230631
DDA1	362.914	0.471721	0.133709	3.52797	0.000418767	0.000844853
DDAH1	464.98	2.45334	0.132658	18.4891	2.52943e-76	3.92062e-75
DDAH2	319.167	-1.05288	0.148079	-7.10962	1.16361e-12	4.29102e-12
DDB1	1774.8	-0.65881	0.0695043	-9.47864	2.57621e-21	1.33853e-20
DDB2	207.182	-2.11298	0.197905	-10.6694	1.41606e-26	8.56469e-26
DDC	11.6168	-3.25578	0.898222	-3.45339	0.000553586	0.00109866
DDHD1	170.987	0.561467	0.190047	2.95436	0.00313321	0.00567869
DDHD2	341.586	1.25718	0.144381	8.70699	3.12058e-18	1.4566e-17
DDI2	35.2896	-0.816242	0.424131	-1.92348	0.0544198	0.0807517
DDIT3	129.971	0.666072	0.21422	3.10926	0.00187555	0.00350313
DDIT4	1684.24	-1.7104	0.0756678	-22.6031	4.04438e-113	9.48699e-112
DDIT4L	12.7371	3.27238	0.802912	3.96796	7.24892e-05	0.000157684
DDN	1033.12	5.34795	0.153146	34.8309	8.28016e-266	6.54431e-264
DDO	13.9781	0.234551	0.622445	0.376857	0.70628	0.757203
DDOST	1129.89	-2.00534	0.0897938	-22.3303	1.87601e-110	4.31408e-109
DDR1	1523.88	1.01938	0.0748857	13.6125	3.37604e-42	2.99323e-41
DDR2	58.2244	-0.555289	0.32072	-1.73108	0.0834384	0.118793
DDRGK1	407.625	0.331143	0.124705	2.65541	0.00792115	0.0136153
DDTL	18.2218	-0.577642	0.558274	-1.0341	0.301091	0.370317
DDX1	374.785	-0.341469	0.137456	-2.48418	0.0129851	0.0215245
DDX10	98.3695	-0.807102	0.259616	-3.10824	0.00188203	0.00351448
DDX11	154.934	-2.42766	0.237745	-10.1974	2.03654e-24	1.16852e-23
DDX11L2	11.4764	-0.433808	0.69485	-0.623973	0.532646	0.602023
DDX12	41.0234	-4.26036	0.622646	-6.58848	4.44354e-11	1.51215e-10
DDX17	2564.98	0.214047	0.0629375	3.40095	0.000671528	0.0013193
DDX18	204.405	-1.16122	0.181415	-6.39971	1.55668e-10	5.12064e-10
DDX19A	235.754	-0.780158	0.164554	-4.74068	2.12997e-06	5.31086e-06
DDX19B	62.7423	-0.929388	0.32651	-2.84536	0.00443613	0.00789575
DDX20	65.1326	-1.19906	0.31421	-3.81379	0.000136854	0.000289655
DDX21	414.104	-2.66517	0.15218	-17.5017	1.38992e-68	1.9294e-67
DDX23	650.977	-0.591047	0.103102	-5.73255	9.89322e-09	2.9184e-08
DDX24	1267.5	1.19203	0.0802837	14.8475	7.21704e-50	7.37938e-49
DDX25	51.2121	3.10661	0.410879	7.52116	5.42912e-14	2.12443e-13
DDX26B	57.0676	0.440565	0.318304	1.38412	0.166323	0.220265
DDX27	316.872	-1.23989	0.148264	-8.36159	6.18798e-17	2.73625e-16
DDX28	107.646	-1.07911	0.244997	-4.40329	1.06623e-05	2.49741e-05
DDX31	93.3299	-0.904731	0.263016	-3.43899	0.000583884	0.00115656
DDX39	483.784	-2.2277	0.133962	-16.6238	4.68702e-62	5.90794e-61
DDX3X	857.408	-0.4711	0.0916898	-5.13793	2.7778e-07	7.41508e-07
DDX3Y	216.056	0.288516	0.169561	1.70155	0.0888397	0.125708
DDX4	1.3109	0.797385	1.48044	0.536937	0.591311	NA
DDX41	645.848	-0.485989	0.103369	-4.70144	2.58327e-06	6.4038e-06
DDX42	900.01	-0.336844	0.0892336	-3.77483	0.000160116	0.000336575
DDX43	5.2202	-0.493413	0.960656	-0.51289	0.608028	0.670298
DDX46	331.394	-0.993966	0.149126	-6.66474	2.65133e-11	9.12518e-11
DDX47	207.047	-1.08682	0.178153	-6.09951	1.06397e-09	3.34739e-09
DDX49	291.274	-0.449431	0.151866	-2.95931	0.00308326	0.00559335
DDX5	1998.04	-0.231126	0.0661907	-3.49182	0.000479748	0.000960591
DDX50	112.357	-0.876131	0.237601	-3.68668	0.000227198	0.000470207
DDX51	307.587	0.0105113	0.147205	0.0714061	0.943075	0.954003
DDX52	74.766	-1.51307	0.305247	-4.95257	7.32388e-07	1.89647e-06
DDX53	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044
DDX54	582.596	-1.50737	0.115782	-13.0177	9.70806e-39	7.97087e-38
DDX55	115.432	-1.73107	0.248992	-6.947	3.73145e-12	1.34136e-11
DDX56	427.509	-0.625559	0.124864	-5.00976	5.44971e-07	1.42675e-06
DDX58	30.3704	-0.0577578	0.439978	-0.131274	0.895559	0.915702
DDX59	63.1217	-0.889769	0.311511	-2.85527	0.00430001	0.00767137
DDX6	696.796	0.628182	0.100486	6.25143	4.06717e-10	1.30965e-09
DDX60	22.052	-0.442701	0.522329	-0.847257	0.396852	0.468774
DDX60L	21.2088	-1.60217	0.553456	-2.88482	0.00391632	0.00702113
DEAF1	948.734	1.53861	0.090456	17.009	7.04335e-65	9.21571e-64
DECR1	76.6199	-1.0255	0.290281	-3.53143	0.000413317	0.000834529
DECR2	175.661	-1.11152	0.196765	-5.64788	1.62441e-08	4.72746e-08
DEDD	154.279	0.0343011	0.198864	0.172486	0.863056	0.889101
DEDD2	257.189	0.781266	0.156022	5.00734	5.51877e-07	1.44397e-06
DEF6	118.08	-2.58456	0.281504	-9.16198	5.09535e-20	2.54565e-19
DEF8	608.856	1.16049	0.107891	10.7559	5.55779e-27	3.39662e-26
DEFB1	3.92338	0.659891	1.10961	0.594699	0.552045	0.620035
DEFB124	1.43089	-0.3288	1.44868	-0.226463	0.820841	NA
DEFB126	1.22799	-0.0291089	1.49416	-0.0194838	0.984455	NA
DEFB133	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA
DEGS1	199.632	-0.680802	0.183822	-3.70334	0.000212782	0.000441466
DEGS2	143.336	2.47415	0.238031	10.3855	2.88532e-25	1.68978e-24
DEK	368.893	-1.61497	0.14219	-11.3556	6.95721e-30	4.60994e-29
DEM1	34.4465	-0.505394	0.411847	-1.22683	0.219888	0.281843
DENND1A	463.578	0.929672	0.128755	7.22039	5.18379e-13	1.94472e-12
DENND1B	17.6037	-0.223295	0.575521	-0.387918	0.698077	0.750105
DENND1C	32.3963	-1.33571	0.443939	-3.0042	0.00266281	0.00487242
DENND2A	152.934	1.21205	0.206874	5.85834	4.67505e-09	1.4138e-08
DENND2C	6.29816	0.951405	0.887479	1.0709	0.284214	0.35245
DENND2D	27.5687	-1.60877	0.493053	-3.25421	0.0011371	0.00218145
DENND3	215.086	1.16296	0.171958	6.76264	1.35498e-11	4.73501e-11
DENND4A	117.919	0.541785	0.22877	2.36826	0.0178721	0.0288964
DENND4B	987.824	0.542003	0.0857348	6.32186	2.58435e-10	8.40813e-10
DENND4C	106.957	-0.152865	0.238154	-0.64186	0.520964	0.590323
DENND5A	912.399	1.29578	0.096629	13.4096	5.30955e-41	4.57346e-40
DENND5B	252.042	1.41535	0.164751	8.59006	8.69226e-18	3.9873e-17
DENR	161.453	-0.842738	0.198794	-4.23871	2.24803e-05	5.10403e-05
DEPDC1	43.1996	-5.61977	0.85143	-5.74045	9.44257e-09	2.79062e-08
DEPDC1B	61.4498	-5.35799	0.68278	-7.29509	2.9845e-13	1.13077e-12
DEPDC4	1.43089	-0.3288	1.44868	-0.226463	0.820841	NA
DEPDC5	133.605	1.0046	0.215793	4.65514	3.23759e-06	7.95613e-06
DEPDC6	83.3407	0.144967	0.272243	0.532496	0.594383	0.657569
DEPDC7	12.9464	-3.0492	0.830758	-3.54716	0.000389411	0.000787893
DERA	96.2327	-1.87307	0.278925	-6.70794	1.97396e-11	6.83948e-11
DERL1	315.705	-0.726395	0.146497	-4.95817	7.11595e-07	1.84453e-06
DERL2	57.7333	-0.941443	0.329741	-2.85388	0.00431884	0.00770263
DERL3	86.8931	-2.45015	0.311982	-7.83391	4.72917e-15	1.93242e-14
DES	57.3057	1.93241	0.338961	5.69527	1.23179e-08	3.60818e-08
DET1	38.3897	-0.15678	0.386077	-0.406067	0.684693	0.738198
DEXI	287.865	1.10438	0.148803	7.42149	1.15812e-13	4.46799e-13
DFFA	186.363	-0.839958	0.186767	-4.49687	6.89608e-06	1.64669e-05
DFFB	55.5307	0.220794	0.3222	0.685283	0.493165	0.562436
DFNA5	126.999	0.0178462	0.220297	0.0810099	0.935434	0.947203
DFNB31	456.747	0.185294	0.118726	1.56068	0.118598	0.16321
DFNB59	10.5724	0.389059	0.702672	0.553724	0.579768	0.644284
DGAT1	337.312	0.260577	0.136299	1.91181	0.0559006	0.0827496
DGAT2	81.3245	-0.729973	0.27341	-2.66936	0.00759968	0.0130999
DGCR10	25.49	4.3344	0.701613	5.92175	3.18525e-09	9.71464e-09
DGCR11	13.9827	-0.504179	0.627429	-0.803065	0.421937	0.494576
DGCR14	206.814	0.187552	0.173169	1.08306	0.278782	0.346326
DGCR2	1455.77	1.28571	0.0762288	16.8662	7.97597e-64	1.026e-62
DGCR5	366.211	5.33338	0.24888	21.2722	2.05433e-100	4.25063e-99
DGCR6	88.5406	2.89625	0.302838	9.54096	1.4151e-21	7.41394e-21
DGCR6L	138.88	0.372066	0.209822	1.77326	0.0761853	0.109534
DGCR8	496.614	-0.463885	0.117537	-3.94667	7.92452e-05	0.000171553
DGCR9	102.774	4.44529	0.375334	11.7127	1.09771e-31	7.60983e-31
DGKA	128.702	-0.110075	0.218571	-0.503606	0.614538	0.676752
DGKB	67.0378	6.01833	0.673801	8.2317	1.84575e-16	8.0063e-16
DGKD	673.233	1.05412	0.103283	10.206	1.86376e-24	1.06973e-23
DGKE	120.028	1.30777	0.24718	5.28997	1.22336e-07	3.35969e-07
DGKG	282.009	4.55122	0.233793	19.3801	1.13648e-83	1.91553e-82
DGKH	24.6555	1.35392	0.489065	2.76616	0.005672	0.00995707
DGKI	34.3996	4.5397	0.642606	6.80074	1.04083e-11	3.65539e-11
DGKK	7.60564	-3.096	1.04193	-2.78904	0.00528648	0.0093176
DGKQ	392.211	1.17026	0.130185	8.98886	2.49814e-19	1.21352e-18
DGKZ	697.286	2.32288	0.110686	20.9833	9.31847e-98	1.86433e-96
DGUOK	182.529	-0.751137	0.185667	-4.04525	5.22668e-05	0.000115355
DHCR24	2697.91	0.00124837	0.0603124	0.0206984	0.983486	0.98641
DHCR7	1014.8	-0.960641	0.0872214	-11.0136	3.28776e-28	2.07283e-27
DHDDS	284.338	0.634675	0.148256	4.28092	1.86123e-05	4.25501e-05
DHDH	9.05835	0.753162	0.75659	0.995188	0.319645	0.390808
DHDPSL	28.8407	1.4979	0.457435	3.27147	0.00106989	0.00205904
DHFR	27.7691	-2.41065	0.532546	-4.49268	7.03311e-06	1.67827e-05
DHFRL1	37.5208	0.733517	0.392917	1.86672	0.0619401	0.0908526
DHH	8.01042	-1.116	0.830106	-1.33895	0.180587	0.237169
DHODH	65.4273	-1.50772	0.320632	-4.69771	2.63096e-06	6.51649e-06
DHPS	482.22	0.334245	0.116153	2.87763	0.00400679	0.00717233
DHRS1	107.459	-0.560112	0.247509	-2.26279	0.0236488	0.0373855
DHRS11	155.443	0.146964	0.197934	0.742498	0.457786	0.528164
DHRS12	38.4322	1.01774	0.400269	2.54214	0.0110177	0.0185063
DHRS13	210.371	-0.15486	0.174541	-0.887235	0.374953	0.446937
DHRS2	850.621	-7.44627	0.364958	-19.7751	4.87898e-87	8.621e-86
DHRS3	186.503	-0.252055	0.181623	-1.38777	0.165207	0.218888
DHRS4	38.1148	-0.890553	0.411759	-2.16154	0.0306538	0.0475975
DHRS4L1	3.06467	-0.524671	1.17041	-0.447115	0.654792	0.712362
DHRS4L2	14.2149	-0.541743	0.623857	-0.867794	0.385507	0.45756
DHRS7	225.395	0.527755	0.164845	3.20153	0.00136697	0.00259381
DHRS7B	78.1271	0.151672	0.274088	0.553377	0.580006	0.644508
DHRS7C	3.52692	1.45253	1.1498	1.25462	0.209617	0.270835
DHRS9	8.93836	1.00166	0.765436	1.30746	0.191056	0.249109
DHTKD1	173.569	-0.988875	0.198442	-4.98243	6.27916e-07	1.6339e-06
DHX15	601.523	-1.23183	0.1125	-10.9488	6.73028e-28	4.20846e-27
DHX16	345.617	-0.820385	0.140674	-5.83149	5.49341e-09	1.65188e-08
DHX29	112.819	-0.862873	0.238224	-3.62142	0.000292985	0.00059992
DHX30	1296.68	0.188166	0.0795402	2.36567	0.0179975	0.0290911
DHX32	116.104	-0.913067	0.234769	-3.88842	0.000100899	0.000215952
DHX33	228.353	-1.05615	0.170007	-6.21157	5.24575e-10	1.67807e-09
DHX34	261.143	-0.626959	0.165324	-3.79212	0.000149365	0.000314957
DHX36	192.089	-0.383723	0.179049	-2.14306	0.0321085	0.0496717
DHX37	322.55	-1.48577	0.151932	-9.77733	1.40876e-22	7.62903e-22
DHX38	730.809	-0.484788	0.0999233	-4.85154	1.22504e-06	3.11561e-06
DHX40	189.275	-0.995559	0.192969	-5.15843	2.49024e-07	6.66573e-07
DHX40P1	1.43089	-0.3288	1.44868	-0.226463	0.820841	NA
DHX57	109.893	-0.290516	0.237875	-1.22125	0.221992	0.28425
DHX58	69.323	-0.173573	0.29243	-0.593534	0.552824	0.620791
DHX8	283.744	-0.574794	0.154684	-3.71578	0.000202579	0.000421393
DHX9	912.457	-1.01738	0.0913631	-11.1352	8.45215e-29	5.41049e-28
DIABLO	230.202	-0.472767	0.164524	-2.87344	0.00406029	0.00726591
DIAPH1	937.683	-2.04734	0.101121	-20.2436	4.04186e-91	7.44942e-90
DIAPH2	32.4478	-2.55602	0.505308	-5.01987	5.17072e-07	1.35532e-06
DIAPH3	59.2485	-5.31047	0.681679	-7.24457	4.33821e-13	1.63239e-12
DICER1	322.53	0.438916	0.141095	3.11079	0.00186588	0.00348655
DIDO1	855.291	-0.667406	0.0919142	-7.26107	3.84053e-13	1.44791e-12
DIMT1L	77.1192	-0.820633	0.283169	-2.89729	0.00376397	0.00676667
DIO1	3.69936	-1.96755	1.19066	-1.60035	0.109522	0.151947
DIO2	79.8279	1.29959	0.279198	4.65372	3.26e-06	8.01009e-06
DIO3	8.01829	1.25417	0.846105	1.47933	0.139052	0.188256
DIO3OS	2.14418	1.02072	1.31903	0.771038	0.440684	0.512409
DIP2A	451.875	-0.283184	0.121321	-2.33414	0.0195883	0.0314711
DIP2B	680.845	1.32325	0.10182	12.9956	1.29606e-38	1.06066e-37
DIP2C	482.854	1.69911	0.122254	13.8971	6.59738e-44	6.04163e-43
DIRAS1	1150.52	3.35605	0.0997411	33.6378	4.70487e-248	3.25006e-246
DIRAS2	1380.39	10.0324	0.558579	16.0006	1.26624e-57	1.50017e-56
DIRAS3	15.5845	1.82626	0.63603	2.86241	0.00420438	0.00751222
DIRC2	54.055	-0.462668	0.331978	-1.39347	0.163476	0.216951
DIRC3	3.63957	0.832045	1.09954	0.755766	0.449789	0.520375
DIS3	163.21	-0.533754	0.196668	-2.71383	0.00665105	0.0115681
DIS3L	167.29	-0.141605	0.190948	-0.741586	0.458338	0.528727
DIS3L2	171.252	-0.0994773	0.18881	-0.52686	0.598291	0.661308
DISC1	1.74241	0.109534	1.37966	0.0794407	0.936682	NA
DISP1	41.309	-0.224175	0.374388	-0.598736	0.549349	0.617481
DISP2	428.729	4.64397	0.195926	23.6272	2.0243e-123	5.25419e-122
DIXDC1	258.799	2.33278	0.175281	13.3037	2.20229e-40	1.88036e-39
DKC1	400.707	-2.3129	0.150654	-15.3456	3.78934e-53	4.11689e-52
DKFZP434H168	5.30554	3.03849	1.12353	2.56721	0.0102522	0.0173121
DKFZP434I0714	31.7437	0.182971	0.42201	0.433581	0.664593	0.721058
DKFZP434K028	1.62243	1.15085	1.42053	0.804123	0.421326	NA
DKFZP586I1420	67.1508	-0.581164	0.302144	-1.92315	0.0544609	0.0807957
DKFZP686I15217	41.2636	0.760182	0.384173	1.97862	0.0478589	0.0717045
DKFZp434J0226	6.17789	2.09638	0.954224	2.17039	0.0299772	0.0466047
DKFZp434L192	1.62243	1.15085	1.42053	0.804123	0.421326	NA
DKFZp566F0947	1.3109	0.797385	1.48044	0.536937	0.591311	NA
DKFZp686A1627	1.83667	-0.785886	1.38148	-0.564407	0.572477	NA
DKFZp686O24166	112.698	0.29366	0.232844	1.2612	0.207236	0.268055
DKFZp761E198	230.021	-0.0413381	0.171885	-0.240498	0.809944	0.845658
DKFZp779M0652	5.48829	3.09999	1.11523	2.63338	0.00845404	0.0144604
DKK1	69.2804	-4.0907	0.467692	-8.58552	9.04294e-18	4.14275e-17
DKK2	10.4986	0.712362	0.721546	0.987015	0.323635	0.395191
DKK3	2875.43	3.15782	0.0697604	45.2627	0	0
DKK4	2.53156	0.45189	1.23727	0.365195	0.714966	0.764973
DKKL1	2.42293	-0.0350993	1.2651	-0.0277291	0.977878	0.982076
DLAT	252.543	-0.663191	0.160509	-4.13159	3.60263e-05	8.03914e-05
DLC1	245.942	0.276103	0.169374	1.63014	0.103072	0.143623
DLD	296.055	-0.848285	0.1495	-5.67374	1.39715e-08	4.07758e-08
DLEC1	10.8038	1.36725	0.727078	1.87702	0.060515	0.0889341
DLEU1	24.2694	-2.72011	0.592594	-4.53366	5.79712e-06	1.39414e-05
DLEU2	6.64002	-0.491514	0.869694	-0.564478	0.572429	0.638596
DLEU2L	3.76718	-0.527014	1.10909	-0.474041	0.63547	0.695612
DLEU7	12.8735	2.60947	0.733644	3.51564	0.000438697	0.000882727
DLG1	278.255	0.737116	0.154021	4.78579	1.70316e-06	4.28255e-06
DLG2	492.639	6.88448	0.336217	20.0228	3.48542e-89	6.2659e-88
DLG3	452.122	1.65317	0.129572	12.7578	2.82144e-37	2.22594e-36
DLG4	2005.48	4.49301	0.0967142	46.4314	0	0
DLG5	535.114	-0.523296	0.112379	-4.65647	3.21677e-06	7.90717e-06
DLGAP1	504.164	6.06313	0.261511	22.9439	1.69451e-116	4.0953e-115
DLGAP2	97.8488	5.40959	0.481767	10.892	1.25875e-27	7.81528e-27
DLGAP3	449.466	6.38109	0.501733	12.572	3.00996e-36	2.31128e-35
DLGAP4	904.041	0.727612	0.0927412	7.8456	4.30898e-15	1.7636e-14
DLGAP5	88.1871	-5.61362	0.616303	-8.54748	1.2581e-17	5.74412e-17
DLK1	819.317	-7.58343	0.38847	-18.8207	5.10847e-79	8.23078e-78
DLK2	53.1046	0.0979574	0.333511	0.29372	0.768972	0.811426
DLL1	73.1114	1.78367	0.297331	5.99523	2.03199e-09	6.27589e-09
DLL3	179.809	-2.31613	0.213893	-10.8173	2.84953e-27	1.75001e-26
DLL4	55.3808	3.99573	0.455969	8.64827	5.22868e-18	2.41682e-17
DLST	463.035	-0.656917	0.127478	-5.15305	2.5629e-07	6.85287e-07
DLX1	64.8716	-0.555176	0.310943	-1.78518	0.0742329	0.106963
DLX2	31.1413	-1.92427	0.475738	-4.03002	5.57726e-05	0.000122614
DLX3	13.081	-3.43732	0.879474	-3.70881	0.000208234	0.000432336
DLX4	24.7383	-3.49416	0.669312	-5.07282	3.91961e-07	1.03668e-06
DLX5	8.30467	0.43543	0.799316	0.544753	0.585924	0.649685
DLX6	12.9908	-0.872563	0.675642	-1.28933	0.197284	0.256335
DLX6AS	6.69288	0.70983	0.861063	0.824081	0.409894	0.482328
DMAP1	284.833	0.62831	0.150796	4.1666	3.09176e-05	6.94331e-05
DMBT1	12.6529	1.80868	0.693785	2.59726	0.00939713	0.0159779
DMBX1	20.5391	-4.11182	0.824582	-4.66244	3.12477e-06	7.68641e-06
DMC1	5.44148	-0.570589	0.958822	-0.594131	0.552424	0.620421
DMD	126.919	1.82121	0.234026	7.7792	7.29846e-15	2.95953e-14
DMGDH	8.27653	0.685367	0.794457	0.862569	0.388374	0.460683
DMKN	43.7579	-0.920151	0.382859	-2.40205	0.0163036	0.0265242
DMP1	1.22799	-0.0291089	1.49416	-0.0194838	0.984455	NA
DMPK	479.123	0.826164	0.118508	6.97132	3.13976e-12	1.13261e-11
DMRT2	13.0708	2.28388	0.729458	3.10836	0.00188128	0.00351345
DMRT3	2.86853	2.06301	1.27622	1.57611	0.115002	0.158721
DMRTA1	4.50289	-0.505757	1.01709	-0.496398	0.619613	0.681315
DMRTA2	26.6682	-2.45769	0.546239	-4.46217	8.11355e-06	1.92379e-05
DMTF1	230.717	0.0237268	0.16247	0.146038	0.883891	0.906269
DMWD	553.732	1.40483	0.1154	12.1732	4.32064e-34	3.17595e-33
DMXL1	191.102	0.663226	0.183593	3.61245	0.000303313	0.000620055
DMXL2	368.059	0.931188	0.132401	7.03296	2.02198e-12	7.35592e-12
DNA2	46.7145	-2.4798	0.423763	-5.82371	5.75553e-09	1.72715e-08
DNAH1	181.044	1.55342	0.19325	8.03711	9.19786e-16	3.8683e-15
DNAH10	40.7867	2.79963	0.453505	6.14558	7.9671e-10	2.52513e-09
DNAH11	13.9892	-1.7733	0.681498	-2.58492	0.00974029	0.016514
DNAH12	1.60403	1.13214	1.43005	0.785784	0.431994	NA
DNAH14	16.5017	-2.85212	0.723593	-3.85873	0.000113977	0.000242993
DNAH17	130.723	1.8078	0.224561	8.04749	8.4509e-16	3.56099e-15
DNAH2	44.6099	-0.203355	0.374249	-0.543332	0.586901	0.650564
DNAH3	3.28222	-0.662997	1.15065	-0.574159	0.56586	0.633039
DNAH5	12.6902	-0.664092	0.662045	-1.00207	0.316311	0.386975
DNAH6	5.44218	2.59651	1.05101	2.40181	0.016314	0.0265361
DNAH7	11.985	2.69642	0.762493	3.48687	0.000488713	0.00097698
DNAH8	8.14205	-2.69303	0.95763	-2.71156	0.00669679	0.0116361
DNAH9	18.9074	3.4261	0.694821	4.82815	1.37807e-06	3.49164e-06
DNAI1	4.26966	2.19674	1.11476	1.93051	0.0535431	0.0795619
DNAI2	2.336	0.694034	1.2817	0.541051	0.588472	0.651934
DNAJA1	635.525	-0.324291	0.105134	-3.08454	0.00203867	0.00378484
DNAJA2	404.504	0.419002	0.126476	3.31289	0.00092338	0.00178826
DNAJA3	507.741	-0.347768	0.114582	-3.03507	0.00240476	0.00442285
DNAJA4	526.145	3.44071	0.140321	24.5024	1.39338e-132	3.98828e-131
DNAJB1	743.113	0.0874123	0.0962073	0.908584	0.36357	0.434995
DNAJB11	215.544	-1.55627	0.184653	-8.42542	3.59449e-17	1.60644e-16
DNAJB12	309.534	0.463192	0.14159	3.27137	0.00107027	0.00205955
DNAJB13	3.37619	-0.251494	1.12694	-0.223008	0.82353	0.856685
